device_type,model,dataset,experiment_axis,scale_group,fit_time_seconds_mean,fit_time_seconds_std,fit_time_seconds_min,fit_time_seconds_max,fit_time_seconds_count,predict_time_seconds_mean,predict_time_seconds_std,predict_time_seconds_min,predict_time_seconds_max,predict_time_seconds_count,wall_time_seconds_mean,wall_time_seconds_std,wall_time_seconds_min,wall_time_seconds_max,wall_time_seconds_count,seconds_per_test_sample_mean,seconds_per_test_sample_std,seconds_per_test_sample_min,seconds_per_test_sample_max,seconds_per_test_sample_count,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_min,peak_memory_mb_max,peak_memory_mb_count,training_throughput_mean,training_throughput_std,training_throughput_min,training_throughput_max,training_throughput_count
light_laptop,lightgbm,ringnorm_7400rows_20feat_binclass,sample_scale,B_3000_10000,0.20818850000205202,0.011603339433887893,0.1999837000039406,0.2163933000001634,2,0.00684240001783105,0.0003624629621477685,0.0065860999993674,0.0070987000362947,2,0.3417859000023782,0.1232314585588019,0.2546480999999403,0.428923700004816,2,4.623243255291281e-06,2.449074068566124e-07,4.450067567140158e-06,4.796418943442405e-06,2,162.40234375,19.914999579511747,148.3203125,176.484375,2,569600.0638473978,31746.532024201293,547151.8757739292,592048.2519208664,2
light_laptop,lightgbm,sylvine_5124rows_20feat_binclass,sample_scale,B_3000_10000,0.3824827500038736,0.26156806146574013,0.1975261999996291,0.5674393000081182,2,0.00667889999203905,0.0031029259662656333,0.0044847999997728,0.0088729999843053,2,0.521049949985354,0.4098212005530734,0.2312626000002637,0.8108372999704443,2,6.5159999922332465e-06,3.027244845137237e-06,4.375414633924687e-06,8.656585350541807e-06,2,160.263671875,20.43151898608161,145.81640625,174.7109375,2,279753.57635280513,191314.77342172962,144473.60272513225,415033.54998047807,2
light_laptop,tabicl,default_of_credit_card_clients_30000rows_23feat_binclass,sample_scale,C_10000_30000,0.938907250020975,0.21607761945464216,0.7861173000419512,1.0916971999999987,2,894.5710126500003,451.6608736435575,575.1985461000004,1213.9434792000002,2,1715.3422334499949,777.2458949237712,1165.7463904999895,2264.9380764,2,0.149095168775,0.07527681227392627,0.09586642435,0.2023239132,2,15192.328125,4175.592601156308,12239.73828125,18144.91796875,2,603909.9985770647,138982.24223369596,505634.7126291069,702185.2845250225,2
light_laptop,tabicl,jm1_10885rows_21feat_binclass,sample_scale,C_10000_30000,0.6309263499861117,0.062018285188456625,0.5870727999717928,0.6747799000004306,2,105.07655020000493,26.307314955711565,86.474469400011,123.67863099999886,2,213.56622270000844,51.12096922523175,177.41823870001826,249.7142066999986,2,0.048266674414333896,0.012084205308089837,0.0397218508957331,0.0568114979329347,2,10037.359375,225.9648107629261,9877.578125,10197.140625,2,291247.5521278889,28628.814993548564,271003.92290861555,311491.1813471622,2
light_laptop,tabicl,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,0.7591401500071697,0.46163261147714146,0.4327166000148281,1.0855636999995113,2,15.358953399991151,8.192334388715514,9.566098199982662,21.15180859999964,2,34.128736549986115,16.49380271879615,22.465856799972244,45.79161629999999,2,0.036395624170595095,0.019413114665202635,0.0226684791468783,0.0501227691943119,2,2331.38671875,18.351630680482117,2318.41015625,2344.36328125,2,57252.89741155048,34815.44817050883,32634.6579201349,81871.13690296606,2
light_laptop,tabicl,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,1.363664600008292,0.012671636373378382,1.354704399999946,1.372624800016638,2,115.9272627499953,39.464207659242724,88.02185389999067,143.8326715999999,2,227.3567251499893,75.43127879569705,174.01875639997888,280.6946938999997,2,0.2898181568749882,0.09866051914810675,0.2200546347499767,0.3595816789999997,2,14678.591796875,3253.075130343216,12378.3203125,16978.86328125,2,253445.69442323287,2355.1037990646732,251780.38455651604,255111.00428994972,2
light_laptop,tabicl,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,1.3960400499962589,0.9922661876030736,0.6944019000000026,2.097678199992515,2,29.94615090001219,13.268389795765426,20.563982500000066,39.32831930002431,2,64.7009387499939,30.357730290710908,43.23478179999995,86.16709569998784,2,0.0748653772500304,0.03317097448941355,0.0514099562500001,0.0983207982500607,2,5518.056640625,17.967693795384733,5505.3515625,5530.76171875,2,116541.79080106819,82834.6424982011,57968.85337342681,175114.72822870954,2
light_laptop,tabicl,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,0.6042282000067871,0.016264870190272243,0.5927272000001267,0.6157292000134476,2,19.37593395001238,1.2069101481114766,18.522519599999896,20.229348300024867,2,41.00362489999179,3.406859705049638,38.5946113,43.41263849998359,2,0.048439834875030896,0.003017275370278678,0.0463062989999997,0.0505733707500621,2,4683.453125,17.241252063150117,4671.26171875,4695.64453125,2,169533.8169274063,4563.582972715725,166306.87646089154,172760.75739392103,2
light_laptop,tabicl,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,0.814819200011982,0.5989458894754872,0.3913005000000567,1.2383379000239074,2,11.33096004998282,3.882466160734661,8.585641900000041,14.0762781999656,2,28.101868349990582,10.32553051992921,20.80061569999998,35.403120999981184,2,0.02832740012495705,0.009706165401836655,0.0214641047500001,0.035190695499914,2,1176.78125,17.313067595614374,1164.5390625,1189.0234375,2,16142.950653810498,11866.134153396539,7752.326727474514,24533.574580146484,2
light_laptop,tabicl,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,1.6059576999944056,0.16984874590551416,1.4858564999885857,1.7260589000002255,2,141.71370854999805,63.19760980797692,97.0262500999961,186.401167,2,279.6138526499831,126.37315710658163,190.25453629996628,368.9731689999999,2,0.3542842713749951,0.1579940245199423,0.2425656252499902,0.4660029174999999,2,15247.337890625,3944.5813681698355,12458.09765625,18036.578125,2,240454.46530071658,25430.86245599741,222472.1300066584,258436.80059477472,2
