runner_dir,model,experiment_axis,scale_group,dataset,run_count,success_count,latest_success_run,missing_files,status
吴兆临_light_laptop,tabpfn,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_131559,,complete
吴兆临_light_laptop,lightgbm,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_134748,,complete
吴兆临_light_laptop,xgboost,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_134802,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260616_000953,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260616_001035,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260616_001156,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F1_6_20,mfeat-morphological_2000rows_6feat_multiclass,1,1,run_20260616_001209,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260616_001218,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260616_001350,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260616_002209,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F2_20_100,mfeat-fourier_2000rows_76feat_multiclass,1,1,run_20260616_002213,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260616_002219,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260616_002305,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260616_002737,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F2_20_100,mfeat-karhunen_2000rows_64feat_multiclass,1,1,run_20260616_002741,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260616_002745,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260616_002824,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260616_003146,,complete
