model,dataset,experiment_axis,scale_group,metric,mean,std,min,max,relative_std,n_runs
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,mean_confidence,0.937862858921887,0.0,0.937862858921887,0.937862858921887,0.0,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,correct_mean_confidence,0.9532633861037176,0.0,0.9532633861037176,0.9532633861037176,0.0,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,wrong_mean_confidence,0.9001581199594746,0.0,0.9001581199594746,0.9001581199594746,0.0,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,confidence_gap,0.0531052661442429,0.0,0.0531052661442429,0.0531052661442429,0.0,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,fit_time_seconds,2.584179450020258,2.1736622967199986,1.0471681000000217,4.121190800040495,0.8411421647606394,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,predict_time_seconds,0.042098449982177,0.01525646517497227,0.0313105000000177,0.0528863999643363,0.36239968885864726,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,wall_time_seconds,3.0316388000104553,2.638142427201969,1.166190400000005,4.897087200020906,0.8702034118288996,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,seconds_per_test_sample,0.00010524612495542223,3.814116293740172e-05,7.827625000004445e-05,0.0001322159999108,0.362399688858442,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,peak_memory_mb,187.302734375,29.154344044625034,166.6875,207.91796875,0.15565359545822186,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,training_throughput,5748.503182785122,4835.308411301305,2329.423816025618,9167.582549544626,0.8411421647606397,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,accuracy,0.9625,0.0,0.9625,0.9625,0.0,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,balanced_accuracy,0.9625,0.0,0.9625,0.9625,0.0,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,macro_f1,0.9626858067264056,0.0,0.9626858067264056,0.9626858067264056,0.0,2
